色,慣用色名
#40317E,パンジー
#836DC5,ヘリオトロープ
#6D52AB,バイオレット
#9E8EAE,ラベンダー
#835FA8,モーブ
#C2A2DA,ライラック
#C7A1D7,オーキッド
#A260BF,パープル
#C949A2,マゼンタ
#CF61A5,チェリーピンク
#F1F1F1,ホワイト
#F1F1F1,スノーホワイト
#E3D4CA,アイボリー
#BABAC6,スカイグレイ
#ADADAD,パールグレイ
#A0A0A0,シルバーグレイ
#939393,アッシュグレイ
#93848B,ローズグレイ
#797979,グレイ
#736C79,スチールグレイ
#56555E,スレートグレイ
#4E4854,チャコールグレイ
#1C1C1C,ランプブラック
#1C1C1C,ブラック
